Time,Mean measurement error,Mean measurement and model error,Mean estimated distance u-s1,Distance u-s1,All u_x,All u_y,All u_z,All u_hat_x,All u_hat_y,All u_hat_z
134,402.6010938221677,402.6010938221677,1533.0872209775578,1726.0037135903929,5805701.08531963,3006798.8270053132,-2165696.470341682,5805747.873580351,3006842.7327868906,-2165512.6935294904
135,402.80281469772615,402.80281469772615,1550.48548822993,1726.1813651636023,5808267.901253902,3006953.520184184,-2158536.917602926,5808309.965396751,3006993.5164402374,-2158369.184851246
136,398.3165844597889,398.3165844597889,1545.7093544157472,1726.3591989664474,5810827.626131125,3007104.5422959942,-2151374.72223507,5810870.842320896,3007145.7893336574,-2151200.734113568
137,401.53247971655003,401.53247971655003,1530.513357089602,1726.5372145074055,5813380.256745005,3007251.893114315,-2144209.8929763082,5813426.442377527,3007296.048267427,-2144022.0081704305
138,396.4491232534349,396.4491232534349,1540.6249049211024,1726.7154116677486,5815925.789897767,3007395.5724172234,-2137042.4385686857,5815968.860823523,3007437.035403402,-2136864.788215417
139,396.87515173919417,396.87515173919417,1548.8913068969025,1726.8937895810043,5818464.222400314,3007535.5799873113,-2129872.367757638,5818506.2802331075,3007576.6562885256,-2129701.541927517
140,393.6209025097226,393.6209025097226,1548.5832015860997,1727.0723454658073,5820995.551072718,3007671.9156117104,-2122699.689290614,5821037.277967898,3007712.32678368,-2122529.1290081455
141,396.6980047773734,396.6980047773734,1538.1346919530056,1727.2510857713642,5823519.8741581375,3007804.58434566,-2115524.1231821543,5823563.39834621,3007847.0273139155,-2115342.9432688523
142,387.2216898456732,387.2216898456732,1554.1157590341827,1727.4299972300444,5826036.985377364,3007933.5753102927,-2108346.2555598244,5826076.783005628,3007972.6092501497,-2108180.215704075
143,383.16188132350544,383.16188132350544,1561.956770812406,1727.6090851435158,5828546.98327743,3008058.893717651,-2101165.8065479137,5828585.237929266,3008096.521384771,-2101006.660310421
144,395.48839362947945,395.48839362947945,1528.5889541724916,1727.7883486470143,5831049.864712215,3008180.539372882,-2093982.7849100058,5831095.519115648,3008225.2751819734,-2093792.2662613678
145,382.87268433779695,382.87268433779695,1557.634647730817,1727.9677860990437,5833545.626545459,3008298.512085711,-2086797.1994097806,5833585.182789948,3008337.3643370676,-2086634.1337376237
146,391.27896771923884,391.27896771923884,1548.7968346220941,1728.1473992717372,5836034.265648163,3008412.811670305,-2079609.0588183305,5836074.101529973,3008452.696562151,-2079437.722510519
147,383.43646582743816,383.43646582743816,1562.0818249157296,1728.3271842380605,5838515.77890157,3008523.437945421,-2072418.37190565,5838553.426703369,3008561.185091267,-2072259.7508950795
148,381.5258378010727,381.5258378010727,1557.839434951578,1728.5071412544044,5840990.163194485,3008630.3907342916,-2065225.1474484247,5841027.969330449,3008668.4300960368,-2065061.5657099315
149,387.78396609521434,387.78396609521434,1546.8834565362145,1728.6872764809134,5843457.514547143,3008733.673946032,-2058029.1046653888,5843497.819526809,3008774.513283335,-2057855.199717707
150,383.0028254737538,383.0028254737538,1546.1881010696848,1728.8675757202348,5845917.631334172,3008833.279102387,-2050830.831358258,5845958.117060358,3008874.271042755,-2050655.173411665
151,377.1143293089737,377.1143293089737,1573.4828066143543,1729.0480435852776,5848370.609880871,3008929.210269343,-2043630.046852093,5848404.839362649,3008964.200045056,-2043481.5128123886
152,380.5760579271735,380.5760579271735,1561.613583059027,1729.228679190266,5850816.447110646,3009021.467288199,-2036426.759937584,5850853.908484752,3009059.9327993994,-2036265.2432017457
153,378.7054109065401,378.7054109065401,1564.7469641480218,1729.4094835830372,5853255.139956251,3009110.0500047943,-2029220.9794068532,5853291.325121932,3009147.433453103,-2029063.531647402
